author,comment,like_count,published_at
@predatorfish1003,Efeknya uang BOS yg di sekolah swasta di pangkas hampir 50%...belom merasakan makan gratis tp efeknya sudah d rasakan..yg harusnya bulan ini yang BOS sudah cair tp belom cair karna efek dari efisiensi buat makan gratis,1,2025-02-20T17:38:47Z
@JidanAhmad-g7g,Itu go,0,2025-02-20T10:34:25Z
@dataspasiallab-dslab6582,MBG ala Kondangan,0,2025-02-20T09:05:48Z
@yamikuraisyin6240,bang Ferry lebih cerdas dari si botak,0,2025-02-20T02:16:43Z
@retnasyamsiah2210,"Bang, output audio nya kurang enak...yg akun Malaka juga sama....",0,2025-02-20T01:35:51Z
@cheanggavara7086,"1.keracunan
2.resiko busuk
2.distribusi telat jadi kelaparan 
3.menu yg ngga sesuai kebutuhan siswa
4 .habis makan cuman jadi tai
5.angggaran terlalu besar",0,2025-02-20T00:23:45Z
@laralafufufafa02,Paok bukannya infrastruktur di perbanyak malah makan siang di prioritaskan,0,2025-02-19T04:55:22Z
@Andrew-ir9mc,"Terkait tanggapan pada usulan pak Ahok kurang dijelaskan lebih dalam. Jadi yg masak tetap orang tua murid, kemudian guru yg akan evaluasi sudah bergizi atau belum. Jika makanannya tidak bergizi, guru bisa cabut hak orang tua murid menerima uang/subsidi. Supaya anak2 ini bisa dapat manfaat yg maksimal dari program ini (gak dipotong sana sini lewat perantaraan). 

Kalau bicara judol, nanti kliatan dari makanan yg dibawa si anak. Kalau tidak bergizi, ya dicabut hak nya bahkan kip dan kjp juga dicabut. Tentu setelah si orang tua muridnya dapat sosialisasi dan training terkait makan bergizi. 
Mohon tanggapan lanjutannta jika terbaca. Terima kasih",0,2025-02-18T05:31:00Z
@dadangabuabdillah218,Setuju solusinya Bang,0,2025-02-18T04:53:51Z
@rikodewaner,"Makan gratis, atau hapuskan agama dari pelajaran sekolah, mana yg lebih bisa mencerdaskan?

Cek keadaan. Apa ada negara atau bangsa maju krn agama? Sebaliknya
Yg bilang islam dulu maju. baca lagi sejarahnya. Islam lah yg meliberalkan orang2 timur tengah saat itu sehingga mrk maju
Untuk maju, masyarakat, pst harus liberal, itu berdasarkan data sejarah
Islam yg dulu maju itu adalah yg liberal, bukan yg skrg
Ini ga mendetail, tp jika betul islamnya sama dengan yg skrg, maka kemajuannya pst jg sama. Agama pengaruhi budaya. Budaya pengaruhi, keadaan terburuk yg mungkin terjadi dalam masyarakat.
Dalam masyarakat liberal, keadaan terburuknya adalah, klopun masyarakat ga ngerti ekonomi atau apapun, tp mrk cukup cerdas untuk berpikir logis dan kritis. Itu masyarakat liberal",0,2025-02-17T19:23:22Z
@rikodewaner,"Anak2 kritis yang tumbuh di #JamanOrba pasti pernah diperingatkan ortunya, ""Huss! Jgn bicara seperti itu nak. Nnt papa sama mama bisa di kejar polisi atau tentara, intinya mama dan papa bisa hilang""

Untuk info aja, salah satu orang yg cukup terkenal dan hilang di jaman orba adalah seorang aktivis yg mana dia adalah suami dari Eva Arnas, seorang aktris",0,2025-02-17T19:18:24Z
@zahidysyawal8618,Makan emang penting tapi gaharus dikasih langsung sama pemerintah. Prnya gimana bikin orang tua murid mampu ngasih makan bergizi anak anaknya.,0,2025-02-17T16:50:01Z
@iqbaladib1805,"Ga kaya konten lu biasanya bang, berasa kurang dalem dan minim literaturnya. maaph 😂🙏🏻",0,2025-02-17T16:22:45Z
@SusiJuliana-g6v,Mbg membuat ortu malas.,0,2025-02-17T16:16:28Z
@fanyadhitya5302,Gua rasa elu lebih layak jadi staff sus deh bang...ada kontribusi pemikiran dan analisa yang bisa bermanfaat buat negara ini bukan cuman giveaway bagi2 kue aja.,0,2025-02-17T01:38:30Z
@fajarhandoko5002,"Bang di daerah saya belum berjalan,
 Penyebabnya apa ya bang.?",0,2025-02-16T15:21:30Z
@mohdfirdaus7536,"Bodo amat.
Makan siang gratis baik atau buruk?
Jelas baik. Ia merugikan peniaga?
Kluu gitu seluruh warga Indonesia tidak boleh mkan druma.
Harus beli ama peniaga. Kerna menghambat pendapat klu mreka mkan druma.
Makan gratis itu hak anak2 hak mreka. Cukup mkan proses pembelajaran smakin mntap.
Melahirkan anak2 berpendidikan.jika berpendidikan produk org2 politik janji makin sukar untk laku.",0,2025-02-16T08:38:00Z
@MuhammadIlhamHusain,"Halah penjilat ngga jelas lu bg.  Kalau salah yah salah ngga usah abu""",1,2025-02-14T10:46:03Z
@Bondboerabo,kenapa kamoe tanja begitu?,0,2025-02-14T06:27:55Z
@fajararifwicaksono5098,"Kurang tajam, kurang kritis,kurang on point",0,2025-02-13T13:22:52Z
@SukmaFashionArt,"perasaan pas aku TK dan SD th.2000an di padang, ada tuh namanya makanan tambahan tiap jumat...jadi kita di kasih makanan n cemilan gtu... itu program dari mana ya?",0,2025-02-13T10:48:11Z
@hayoosiapa5927,"Seharusnya mungkin ada yang memiliki usulan memberdayakan kantin-kantin sekolah, karena ya apa iya sekelas orang-orang pemerintah ngga kepikiran soal pemberdayaan dari unsur internal sekolah itu sendiri dan juga memudahkan implementasi. Menyewa vendor-vendor itu bisa jadi memang hanya alat untuk bagaimana penyelenggara bisa ""memanfaatkan"" program MBG ini, banyak faktor yang bisa dikulik sebenarnya dari program tersebut, semakin besar skala program maka semakin abu-abu maksud dari program itu sendiri karena pastinya mereka harus menyertakan berbagai unsur",0,2025-02-13T07:44:23Z
@hayoosiapa5927,"Tpi inget bisa jadi ada cerita dibalik program MBG ini, pelaksanaan dalam skala masif itu singkatnya bisa saja memang hanya untuk menambah popularitas dari penyelenggara program tersebut, meninggalkan kota-kota besar untuk dilaksanakannya program ini hanya akan merugikan penyelenggara, ibaratnya kayak ngeluarin duit tapi impact yang dihasilkan cuman 1 atau 2 aja, impact2 yang lain yang menurut mereka lebih penting yaitu popularitas ditinggalkan",0,2025-02-13T07:38:45Z
@rinaguilbert7707,"Kalo saya mjd ortu saya tersinggung kalo anak saya makan gratis krn mencuri tanggung jawab saya sbg ortu, mencuri point kedewasaan saya sbg manusia,... Di Perancis saya sekolah kan anak ke private krn di sekolah negeri Ada yg gratis Ada yg bayar sedikit Ada yg full.disekolah swasta semua anak bayar sama(mengapa mampu melahirkan anak/bila tak mampu memberi kehidupan yg layak a song .by Nicky Astria )",0,2025-02-13T07:31:56Z
@cartoonweirdo5676,Bang bahas Efisiensi Anggaran tapi malah ngangkat Stafsus dong Bang,1,2025-02-13T02:32:40Z
@awllbcd4494,"Makan siang gratis mending fokus ke yg di pelosok aja.sorry pikiran saya agak bodoh😂😂Asumsi aja dgn makan siang gratis anak² pada pinter,tapi kalian tau sendiri kualitas pendidikan di indo kaya apa.jadi menurut saya mending buat ningkatin kualitas pendidikan dan insfratruktur. Dgn dana sebesar itu perharinya duit rawan di korupsi sama yg bawah sampe atas.",0,2025-02-12T20:26:48Z
@abdulmalik-l2t4g,"bismillah semoga dibaca, kalau mau disanggah dengan senang hati silahkan siapapun kamu. Salam bg Ferry semoga abang dan keluarga diberikan kesehatan selalu. Sebelumnya gw bukan buzzer, tapi secara pribadi gw bener"" menolak program ini, selain program ini belum dilakukan secara menyeluruh atau merata, anggaran program ini terbilang cukup banyak yang dimana anggaran tersebut sebenarnya bisa dalam memperbanyak fasilitas pendidikan terutama daerah pelosok, dan udah trauma dengan para tikus negeri ini yang anggaran nya tidak tersalurkan kepada penerima manfaat malah masuk ke kantong pribadi. Masih banyak saudara kita yang belum mengenyam pendidikan sama sekali karena rumah saudara kita jauh dari sekolah. memperbanyak dan bener"" mengupgrade dari fasilitas sekolah untuk sarana belajar mengajar, dan memberikan kesempatan kepada saudara"" kita yang masih mencari kerja dan bener"" ahli dalam bidang pendidikan untuk mengajar, dengan mengikuti kurikulum yang ada. menurut saya pribadi dalam pembentukan SDM yang bagus ialah memperbaiki sistem belajar mengajar di sekolah, bukan dengan mengisi perut siswa tersebut langsung menjadi pintar. Kita tau di negara maju udah memberikan launch kepada siswa, tetapi emang fasilitas belajar mengajar dan guru yang bener"" kompeten dalam mendidik murid udah diupgrade sebelum adanya makan siang tersebut. Kebetulan saya alumni pesantren  negeri tahun 20 dibawah langsung KEMENAG. di pondok saya, setelah shalat dzhur kita diberikan makan siang sebelum melanjutkan pembelajaran, tetapi saya selalu menghindari itu, karena suasana siang hari apalagi dalam keadaan kenyang dapat membuat kita ngantuk terlebih lagi guru saya yang dimana kalau mengajar suaranya agak pelan membuat satu kelas pada mengantuk, hanya beberapa orang aja yang fokus mendengarkan beliau mengajar. dan alhamdullillah kebiasaan itu yang saya hindari hingga lulus, dan alhamdulillah yang beliau ajarkan kepada kami yang memperhatikan beliau, yang dari awal tidak tau apa-apa menjadi tau dan kami amalkan ke adik"" kelas kami biar berkah. dan buat bg Ferry anda yang saya anggap toko pendorong masyarakat yang sangat berpengaruh demi rakyat, saya mohon banget bg, untuk menyampaikan kepada petinggi disana, untuk menambahkan pembelajaran adab, etika, attitude atau apa pun namanya itu ilmu itu sangat berpengaruh banget dalam kehidupan dan salah satu upaya terbaik dalam mendorong SDM yang lebih baik. Makasih bg kalau udah dibaca❤",0,2025-02-12T16:11:11Z
@pmabin,"BANG BAHAS SI BOTAK DONG,
DEDY? 😮‍💨
Apakah Demokrasi kita sudah MATI!!!",0,2025-02-12T14:21:05Z
@habibiebahri9114,GRATIS??? 🤣🤣🤣,0,2025-02-12T09:11:21Z
@MustofaKurniawan-l8x,"Jawabannya 1.
1. Menyesuaikan.",0,2025-02-12T02:58:54Z
@faradellaburaira5107,10:16 part ini gue setuju bgt,0,2025-02-11T21:52:24Z
,Ladang saya bakalan musnah kena program ini..belum tau kalau program ini berjalan saya mau cari kerja apa lagi..saya nikmati aja dulu,0,2025-02-11T17:54:02Z
@hendsonpassagi2721,"""Wo makan gratisnya mana Wo?! Wo gendutt"" 💀💀 wakakakaka",0,2025-02-11T15:22:02Z
@lukmansolehudin2081,Halo warga sipil?,0,2025-02-11T09:33:59Z
@tutiknurayni4249,"bang, sebelum ngonten, konsul dlu ga ke om ded?",0,2025-02-11T01:07:51Z
@rachmathidayat8940,Saran2 yang sangat bagus kalau mau didengarkan oleh pemerintah 👍,1,2025-02-11T00:16:49Z
@龍帝DragonEmperor,"Gwa termasuk yg gak setuju, krn 2 hal, pertama lebih ke hal higienis (apakah wadah bersih atau bahan makanannya di cuci bersih krn porsi nya ka byk) dan kedua, nilai kesegaran bahan nya (baru dari petani gak?, atau seger gak seger di jadiin satu aja tanpa di pilih dl).
Gak gratis sih, itu kan dari pajak kita, 2T kalau gak salah.
Bagus anggaran uang nya kasi ke ibu, krn ibu bisa cuci yg bersih dan pilih bahan yg seger utk anak 😊",1,2025-02-10T07:30:28Z
@Thegravewalker152,Terimakasih orba telah menciptakan kaum kita jadi tumpul critical thinking nya,0,2025-02-10T03:51:49Z
@julesherman6802,"Makan siang gratis memang dilakukan secara bertahap bang. Makanya belum semua daerah ada program ini. Vendor mbg ini sekarang semuanya dipegang tni, karena hanya tninyg mempunyai kemampuan skala nasional dalam hal alat dan ahlimgizinkarena mereka kan biasa membuat ransum prajurit. Sepertinnya anda tidak tahu ini ya",0,2025-02-10T02:29:02Z
@leonarduskevin-o2r,Semoga bisa mencerahkan masyaraat yang masih terpolarisasi,0,2025-02-10T01:09:54Z
@noofelaholanue,"if you know papua students in yahukimo even open their voice that they did not agree with this ""makan siang gratis"". but yeah again indonesia always shut us down, so i dont think anyone outside of papua knew about this. about anak muda yang open opini mereka",0,2025-02-09T17:28:54Z
@dikisiregar1224,😅 kebijakan yang tidak diukur dengan kemampuan untuk mengeksekusi dengan baik tidak akan berjalan baik dan hanya membuang waktu uang dan tenaga 😅 Sumberdaya manusia itu adalah harta paling berharga bagi suatu bangsa dan mampu merubah nasib bangsa itu sendiri,0,2025-02-09T07:02:07Z
@LLLLlll__0000,"Kalo makanannya gak enak, bawa roiyko dari rumah sendiri anj, ama bawa bon cabe, ama kecap. Komen mulu udah dikasi hati minta jantung",0,2025-02-09T06:43:57Z
@wahyurachmadi,08:12 ❤,1,2025-02-09T05:38:49Z
@tinaamnah6235,"setuju bang, mestinya diawali dng daerah yg kritis, gizi buruk tggi, tertinggal..kalau anggaran terbatas fokus drh spt itu sj..",0,2025-02-09T05:25:37Z
@Ruki_VDoctor,Om botol harus liat video ini sih wwww,0,2025-02-09T02:00:22Z
@SahalSinatrya,"menu nya menurutku terlalu ribet, harus ada standarisasi menu yang pakem yang komoditasnya itu tidak sulit di dapat semisal telur+buah+susu. secara gizi sudah tercukupi dan secara harga pun minim, tapi emang susahnya orang indonesia lebih suka makanan yang tidak ada gizinya dan suka nya ribet klo soal menu makanan.",0,2025-02-08T22:09:39Z
@KariyantoUT,mungkin untuk kalangan bawah ini membantu tapi karena anggaran nya mengurangi pos yg lain jadi ada plus minus,0,2025-02-08T16:27:11Z
@ainunlala5199,Triliunan uang negara hanya jd kotoran. Dn apakah yg dpt mkn siang grtis kedepanya ad manfaat buat negara??,0,2025-02-08T16:00:06Z
@bidannasti3494,"Yg saran pak Ahok sy malah setuju, nnt di sekolah yg akan mengecek apa sesuai tidak bekal yg dibuat dengan menu yg sdh ada. Atau sdh sesuai GK ada Karbo protein dan mineral nya gt di bekal anak sekolah. Makan siang gratis yakin sy bakalan jd lahan korupsi. Waktu covid aja msh  sempet sempet nya korupsi",0,2025-02-08T08:14:56Z
@ZM777,Yang penting bukan menu Belalang ataupun Serangga lainnya 😂😂😂,1,2025-02-08T06:01:27Z
@andromeidachannel,G ada yg gratis di dunia ini,0,2025-02-08T01:07:17Z
@Sonofadam12,"Bang ferry, bahas tentang komentar youtube bnyk banget sekarang digunain sebagai media promosi judol!!!! Ganggu bangettttt!!!!!!",0,2025-02-07T11:00:47Z
@ahmadaswinsyahramadhan7246,Pas tadi gak makan siang,0,2025-02-07T10:22:40Z
@ayurengganis1057,sampai sekarang tempat saya belum pernah ada om,0,2025-02-07T08:51:19Z
@noticemesenpai8274,KENAPA BUKAN SEKOLAH GRATIS AJA YA,1,2025-02-07T02:39:56Z
@ndavs,"Presiden sampai pakai uang pribadi 😮.
Katanya negara kaya 😮
Pejabatnya pada ngacao apa gimana nih??
Mending mobil dinasnya di perbarui lagi aja kalo bisa beli mobil yang mahal sekalian biar   nyaman jalan jalannya. sama markasnya juga di bikin keren dan mewah apa itu rakyat?? Lupakan saja rakyat.",0,2025-02-07T01:31:04Z
@DanicaGrigsby-s9k,akhirnya bobol perkalian 𝔹О𝐖𝗢𝟳𝟳 seceng perfect,0,2025-02-05T18:07:26Z
@Hollywood_News79,"Cek menit 02.10

ISTANA KLAIM ADA DAERAH PAKAI UANG PRIBADI PRABOWO UNTUK MAKAN BERGIZI GRATIS

The newly signed agreement, titled the ""Geneva Accord"" for global....

Itu kutipan data yang ditampilian atau hanya sekedar ilustrasi saja?...

Bisa klarifikasi bang?....",0,2025-02-05T16:03:14Z
@Borneomailvideo,"Mas, santet berhadiah Alphard masih berlaku khan ya 😊, mekanismenya bagaimana kalo misalkan berhasil nih, klaim hadiahnya sama siapa ?",0,2025-02-05T14:03:14Z
@suryazen4388,kualitas makan gratis nya prabowo rendah banget terutama yg di daerah,0,2025-02-05T10:02:11Z
@rosyanasetyawan2259,"Di kota tempat saya tinggal, tampak masih belum siap program ini. Satu kota hanya ada dua dapur, jadi masih belum merata.",0,2025-02-05T08:21:09Z
@IndahDiarys,"Bang ferry mungkin aku join komentar kali ini bisa dibilang terlambat. Namun, ada keresahan dari penerapan makan gratis kali ini. Keresahan tersebut timbul atas alokasi anggaran yang di pangkas pada berbagai sektor guna mengsukses kan program makan gratis ini. Beberapa alokasi anggaran tersebut berdampak terutama pada asn, alokasi tersebut menyasar banyak hal mengenai pemotongan operasional hingga wacana tunjangan hingga single salary dan gaji 13 - 14 yang tidak di berikan. Barangkali bang ferry berkenan untuk mengangkat isu - isu ini sehingga kami memperoleh pandangan dari sudut pandang yang lebih luas. Terimakasih saya ucapkan. Salam.",0,2025-02-05T08:00:09Z
@ku1108,tujuan program itu baguss...tapi klo tidak bisa dilakunan jgn di paksakan....program ini ujung ujung nya mirip program nya anies di jkt dulu...depe  rumah 0 %...program halu ...,1,2025-02-05T06:25:46Z
@vidyasultonh625,"""mana sprei gratisnya wok""  🗿😅",0,2025-02-05T05:13:19Z
@willywahana,"collabs sama om haw ghost ranger ,...biar ada pembuktian soal hantu .",0,2025-02-05T04:26:54Z
@willywahana,"cuman mau kasih tau tentang mgb,,,anak sd banyak maunya
anak sma smp maunya banyak wkwkwk",0,2025-02-05T04:25:54Z
@ekafrenzy7365,Bang bahas argentina bang,0,2025-02-04T18:30:58Z
@danurlazaba170,Omded bikin vidio kekgitu orang merasa omded seperti menjilat gitu,0,2025-02-04T16:56:00Z
@gudangwawasan102,"Bung ferry, apanih arc selanjutnya?",0,2025-02-04T14:01:46Z
@onepieceop4339,"Memang harusnya makan gratis itu bukan untuk daerah perkotaan karna enggak akan mereka bersyukur. 
Harusnya makan gratis untuk daerah pedalaman yang tertinggal di daerah. 
Dan di mandatkan pada rakyat untuk pengawasannya dan selalu di cek langsung oleh pemerintah pusat.",0,2025-02-04T11:49:48Z
@arimashinto,"Orang yang ngomong ""lu kan kerjanya under si A, berarti harus bela A"" bro Irwan harusnya ngerti, mereka yg ngomong gitu pasti bukan nakama. Karena kalau nakama pasti tau bahwa angkatan laut tidak selalu jahat, dan bajak laut tidak selalu baik, hidup gak sesimpel hitam putih.",0,2025-02-04T11:38:44Z
@clashcon11,Setuju banget kita punya bias masing-masing.,0,2025-02-04T09:52:50Z
@vegayudistira8473,"bahas tentang kebijakan gas lpg sama pagar laut bang, thank u",0,2025-02-04T07:00:41Z
@EldonSaputra,"Bang klo ga salah gw nonton film drama gtu. Mereka yg tidak mampu dikasih tiket gratis makanan.
Kenapa pemerintah ngk fokuskan dengan cara khusus seperti itu pasti lebih efesien ke mereka yg sama sekali tdk mampu.",0,2025-02-03T17:21:00Z
@gamalmasfhur1440,"Dari hitungan chat gpt, data tahun 2023 jumlah napi dan tahanan di indonesia sebesar 0,1% dari jumlah warga negara Indonesia, sedangkan jumlah pelajar 21,8%..
Untuk anggaran per-hari napi/tahanan di Lapas tahun 2023 adalah 19.000 untuk 3x makan, karna yang di suplai vendor adalah bahan makanannya (bukan makanan jadi) dan jumlah ini menguras banyak APBN, dan sekarang 21,8% dari jumlah warga negara Indonesia yang harus diberi makan lagi.. wow.. pemangkasan di APBN masing2 kementerian sudah sangat besar, semoga saja program ini memberikan andil atau dampak besar untuk rakyat Indonesia, bukan hanya untuk pemenuhan ambisi.. 😔😔🙏🏻🙏🏻..",0,2025-02-03T17:01:54Z
@trotoniaja3011,Bang bahas lg update Erspo dan lesson learnednya sampe bisa survive dan balik dibangga2in sekarang,0,2025-02-03T12:34:37Z
@agustamiragus157,"Yang mau gua komen simpel bg,
Susah jadi pemimpin bg,  dan dia harus menepati janjinya..   
Disamping itu dia juga memikirkan utang negara yang menumpuk triliunan yg dibuat pemimpin sebelum sebelum nya.  Dan satu lagi paling sulit adalah saat awal memimpin sudah banyak di kritik.",0,2025-02-03T11:10:24Z
@masb0ymas,Kenapa kamu bertanya seperti itu ?,0,2025-02-03T09:12:53Z
@uchihaackermann592,"om dedy bikin kontroversi
ferry irwandy bikin edukasi
kontennya naik drastis
= close the door cuan",0,2025-02-03T08:25:15Z
@fuka2131,"kalo memang niatnya untuk atasi stunting harusnya penyebaran makan bergizi gratis dimulai dari daerah dengan tinggi tingkat stunting nya, ketimbang di kota besar dengan anak yang udah biasa makan enak",0,2025-02-03T08:00:45Z
@Sok_tau_luh,"PMK yg baru udah keluar bang, semua DAK dipotong hampir 100 persen.
Lucu aja kalo bangunannya rubuh asal perut kenyang.",0,2025-02-03T07:16:31Z
@ikomangadimbgbali2284,"Bang, sekali-kali bahas soal Tukin Dosen",0,2025-02-03T06:46:01Z
@getvlog5661,Gw nonton sambil mandi bang,0,2025-02-03T04:58:04Z
@IndahLestari-h2z,"Ini harus nyampe ke pemerintah si, biar ditanggepi gimana baiknyyaaa, bang fer selalu keren, yuhuuu",0,2025-02-03T03:45:10Z
@saidwibisanafull1,"Asupan gizi yang seimbang diatur menunya dan ditakar oleh ahli gizi, mencakup kandungan karbohidrat, protein, serat, dan nutrisi lainnya. Masyarakat perlu memahami bahwa perkembangan otak, termasuk kecerdasan (IQ), tidak hanya dipengaruhi oleh faktor genetik, tetapi juga oleh kualitas makanan yang dikonsumsi. Tubuh kita terbentuk dari nutrisi yang kita makan, sehingga menyediakan makanan bergizi secara gratis adalah investasi fundamental bagi anak-anak. Dengan gizi yang baik, mereka dapat tumbuh dan berkembang secara optimal, yang pada akhirnya berkontribusi pada kemajuan bangsa di masa depan.",0,2025-02-03T02:28:39Z
@fssalll17_,"Yang saya bingung ke warga Indonesia ini , kan saya liat tuh banyak orang yang nagih nagih program makann gratis , setelah program itu berjalan banyak yang bilang ga penting atau apalah itu , nah jadi menurut saya mskipun program itu tidak berjalan masih ttep pemerintah salah jadi yaa serba salah",1,2025-02-02T22:57:26Z
@Rugrats-,nice bang,1,2025-02-02T14:35:58Z
@BoybenNdeso,"bang, usul juga...program diberikan dulu ke anak2 yang memang mengalami keterbatasan ekonomi, utk sekolah2 mahal mungkin jgn dulu krn anak2 dr sekolah2 mahal kebanyakan bawa bekal sendiri dari rumah dg lauk yg sdh pasti berizi atau sdh dilayani kantin sekolah yg baik. takutnya makan gratisnya malah tidak kemakan.",1,2025-02-02T08:03:48Z
@Willy_Kazuma_Channel,"Dari awal saya tidak setuju dengan program MBG...

Emang niat dan tujuannya bagus, tapi pemerintah harusnya lihat sikon di negara kita gimana...

1. Budgetnya terlalu besar: Jumlah penduduk kita sangat banyak yang artinya jumlah anak yang bersekolah juga sangat banyak. Kata ""Sangat Banyak"" berarti Lebih dari hanya sekedar kata ""Banyak"". Kita ingin anak indonesia sehat, supaya belajarnya juga fit. Menghindari terjadinya stunting. Pertanyaannya apakah setelah program MBG ini angka Stunting berkurang? Lihat aja datanya nanti... Kalau justru malah turunnya angka stunting nantinya sedikit, artinya program MBG ini cuma program hambur-hamburkan uang.
2. Orang indonesia suka korupsi: Budget yang besar pada saat disalurkan ke sekolah memang direncanakan dengan pengawasan sedemikian rupa. Tapi dari lubuk hati terdalam + Pengalaman menyaksikan langsung bagaimana setiap anggaran pemerintah itu selalu dirampok oleh beberapa pihak tertentu. Budaya korupsi di Indonesia sudah mengakar dan menjamur. Jadi menurut saya program ini cuma program buat mengenyangkan para koruptor.
3. Masalah yang selanjutnya, Makanan yang kurang enak itu wajar... karena anggaran yang besar dikeluarkan untuk jumlah konsumen yang begitu demikian besar juga. Tentu saja melihat human resource dan bahan makanan yang seadanya... Menurut saya akan benar-benar kesulitan dalam menyajikan makanan yang sehat sekaligus enak. Dan definisi enak dan pengalaman menikmati makanan enak setiap orang juga berbeda-beda.

Saya tidak mengatakan program ini tidak bisa jalan... Sangat bisa... Tapi kita benar-benar membutuhkan anggaran yang sangat besar dan proses penyaluran yang tepat sasaran, serta pemanfaatan bahan makanan dan sumber daya manusia yang demikian rumit. Apakah Pemerintah, Pegawai pemerintahan dan Rakyat kita dapat bekerja sama?

Saya sih ragu... Tapi ya, semoga keraguan saya tidak menjadi kenyataan...",0,2025-02-02T07:54:22Z
